Code,Company,Sector,Market Cap,Weight(%)
SYR,Syrah Resources,Materials,"781,049,000",0.04
TAH,Tabcorp Holdings Limited,Consumer Discretionary,"9,816,080,000",0.54
TCL,Transurban Group Ordinary Shares/Units FP Triple Stapled,Industrials,"29,975,500,000",1.65
TGR,Tassal Group Limited,Consumer Staples,"796,915,000",0.04
TLS,Telstra Corporation,Telecommunication Services,"37,939,600,000",2.09
TME,Trade Me Group Foreign Exempt NZX,Consumer Discretionary,"1,898,030,000",0.1
TNE,Technology One,Information Technology,"1,767,140,000",0.1
TPM,TPG Telecom Limited,Telecommunication Services,"7,923,510,000",0.44
TWE,Treasury Wine Estate,Consumer Staples,"12,569,400,000",0.69
URW,Unibailrodawestfield Chess Depositary Interests 20:1,Real Estate,"6,183,080,000",0.34
VCX,Vicinity Centres Ordinary/Units FP Stapled Securities,Real Estate,"10,143,600,000",0.56
VEA,Viva Energy Group,Energy,"4,433,540,000",0.24
VOC,Vocus Group Limited,Telecommunication Services,"2,040,770,000",0.11
VVR,Viva Energy REIT Stapled Securities,Real Estate,"1,596,650,000",0.09
WBC,Westpac Banking Corp,Financials,"95,933,900,000",5.28
WEB,Webjet Limited,Consumer Discretionary,"1,852,850,000",0.1
WES,Wesfarmers Limited,Consumer Staples,"56,521,900,000",3.11
WHC,Whitehaven Coal,Energy,"5,581,690,000",0.31
WOR,Worleyparsons Limited,Energy,"5,577,210,000",0.31
WOW,Woolworths Group Limited,Consumer Staples,"36,878,100,000",2.03
WPL,Woodside Petroleum,Energy,"36,116,700,000",1.99
WSA,Western Areas Limited,Materials,"727,474,000",0.04
WTC,Wisetech Global Limited,Information Technology,"6,641,230,000",0.37
XRO,Xero Limited,Information Technology,"6,883,820,000",0.38
